Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Lupus Erythematosus, Systemic	C0024141	DNASE1	1773	P24855	deoxyribonuclease 1		180	0.505	0.846	6.9801e-21	0.9		0.955	22	1	2000.0	2020.0
Lupus Erythematosus, Systemic	C0024141	FCGR2B	2213	P31994	Fc fragment of IgG receptor IIb	Cell adhesion	155	0.522	0.846	0.45637	0.9		0.98	50	6	1995.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TREX1	11277	Q9NSU2	three prime repair exonuclease 1		241	0.517	0.808	0.57528	0.8	strong	0.967	30	10	2007.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PTPN22	26191	Q9Y2R2	protein tyrosine phosphatase non-receptor type 22		400	0.438	0.846	3.4921e-21	0.8		0.952	62	5	2004.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PDCD1	5133	Q15116	programmed cell death 1		497	0.402	0.846	0.41706	0.8		0.949	39	2	1998.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TNIP1	10318	Q15025	TNFAIP3 interacting protein 1		93	0.564	0.769	0.47559	0.7		0.926	27	6	2009.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CTLA4	1493	P16410	cytotoxic T-lymphocyte associated protein 4		722	0.369	0.923	0.94085	0.7		0.829	41	5	1998.0	2020.0
Lupus Erythematosus, Systemic	C0024141	ETS1	2113	P14921	ETS proto-oncogene 1, transcription factor	Transcription factor	327	0.444	0.731	0.7816	0.7		0.957	23	2	2000.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.7		0.882	102	8	1990.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.7		0.945	127	8	1994.0	2019.0
Lupus Erythematosus, Systemic	C0024141	IRF5	3663	Q13568	interferon regulatory factor 5	Transcription factor	226	0.489	0.731	0.0090365	0.7		0.949	117	9	2005.0	2020.0
Lupus Erythematosus, Systemic	C0024141	ITGAM	3684	P11215	integrin subunit alpha M		343	0.443	0.808	3.3148e-11	0.7		1.0	51	10	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	BANK1	55024	Q8NDB2	B cell scaffold protein with ankyrin repeats 1		51	0.653	0.538	4.7905e-12	0.7		0.955	22	7	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	BLK	640	P51451	BLK proto-oncogene, Src family tyrosine kinase	Kinase	86	0.585	0.769	8.348e-14	0.7		0.976	41	12	2008.0	2020.0
Lupus Erythematosus, Systemic	C0024141	IFIH1	64135	Q9BYX4	interferon induced with helicase C domain 1		319	0.471	0.808	6.9819e-44	0.7		1.0	24	4	2006.0	2019.0
Lupus Erythematosus, Systemic	C0024141	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.7		0.961	77	17	2002.0	2020.0
Lupus Erythematosus, Systemic	C0024141	TNFAIP3	7128	P21580	TNF alpha induced protein 3	Enzyme	212	0.481	0.808	0.99972	0.7		0.929	42	7	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	C4A	720	P0C0L4;P0C0L5	complement C4A (Rodgers blood group)	Enzyme modulator	145	0.563	0.769	1.5416e-11	0.7		0.957	23	0	1987.0	2018.0
Lupus Erythematosus, Systemic	C0024141	CR2	1380	P20023	complement C3d receptor 2		123	0.556	0.654	4.7399e-19	0.69	moderate	1.0	10	5	2006.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PXK	54899	Q7Z7A4	PX domain containing serine/threonine kinase like	Kinase	13	0.821	0.231	0.010847	0.67		0.875	8	3	2008.0	2015.0
Lupus Erythematosus, Systemic	C0024141	C1QA	712	P02745	complement C1q A chain		88	0.623	0.654	0.0038204	0.67		0.7	10	4	1996.0	2012.0
Lupus Erythematosus, Systemic	C0024141	JAZF1	221895	Q86VZ6	JAZF zinc finger 1		102	0.582	0.654	0.89582	0.63		0.8	5	9	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	RASGRP1	10125	O95267	RAS guanyl releasing protein 1	Enzyme modulator	110	0.572	0.731	0.96554	0.62		1.0	4	1	2003.0	2018.0
Lupus Erythematosus, Systemic	C0024141	C4B	721	P0C0L4;P0C0L5	complement C4B (Chido blood group)	Enzyme modulator	66	0.603	0.808	0.83464	0.6		0.944	18	0	1985.0	2019.0
Lupus Erythematosus, Systemic	C0024141	TNFSF4	7292	P23510	TNF superfamily member 4	Signaling	129	0.54	0.808	0.049378	0.6		0.967	30	17	2008.0	2019.0
Lupus Erythematosus, Systemic	C0024141	PRDM1	639	O75626	PR/SET domain 1		126	0.538	0.731	0.9565	0.55		1.0	5	0	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	DEF6	50619	Q9H4E7	DEF6 guanine nucleotide exchange factor	Nucleic acid binding	22	0.751	0.346	0.99768	0.52		1.0	4	0	2006.0	2018.0
Lupus Erythematosus, Systemic	C0024141	FCGR2A	2212	P12318	Fc fragment of IgG receptor IIa	Cell adhesion	227	0.48	0.769	2.0054e-06	0.5		0.906	32	3	1995.0	2019.0
Lupus Erythematosus, Systemic	C0024141	HLA-DQA1	3117	P01909	major histocompatibility complex, class II, DQ alpha 1	Immune response	427	0.416	0.846	0.023947	0.5		0.931	29	2	1991.0	2016.0
Lupus Erythematosus, Systemic	C0024141	IRAK1	3654	P51617	interleukin 1 receptor associated kinase 1	Kinase	200	0.506	0.808	0.98774	0.5		1.0	15	3	2007.0	2019.0
Lupus Erythematosus, Systemic	C0024141	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.5		1.0	16	6	2008.0	2018.0
Lupus Erythematosus, Systemic	C0024141	SPP1	6696	P10451	secreted phosphoprotein 1		824	0.353	0.885	2.146e-06	0.5		0.952	21	3	1998.0	2019.0
Lupus Erythematosus, Systemic	C0024141	UBE2L3	7332	P68036	ubiquitin conjugating enzyme E2 L3	Enzyme	56	0.644	0.615	0.83844	0.49		0.941	17	6	2008.0	2020.0
Lupus Erythematosus, Systemic	C0024141	DNASE1L3	1776	Q13609	deoxyribonuclease 1 like 3		126	0.575	0.769	3.0012e-05	0.47		1.0	8	1	2011.0	2020.0
Lupus Erythematosus, Systemic	C0024141	PHRF1	57661	Q9P1Y6	PHD and ring finger domains 1		17	0.743	0.346	0.056521	0.47		0.875	8	2	2008.0	2012.0
Lupus Erythematosus, Systemic	C0024141	C2	717	P06681	complement C2		71	0.617	0.692	1.3494e-16	0.45	strong	1.0	7	2	1976.0	2015.0
Lupus Erythematosus, Systemic	C0024141	SLC15A4	121260	Q8N697	solute carrier family 15 member 4	Transporter	9	0.805	0.269	1.9296e-06	0.44		1.0	8	10	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	UHRF1BP1	54887	Q6BDS2	UHRF1 binding protein 1		26	0.769	0.269	4.4659e-13	0.43		0.857	7	7	2009.0	2019.0
Lupus Erythematosus, Systemic	C0024141	CLEC16A	23274	Q2KHT3	C-type lectin domain containing 16A		67	0.612	0.654	0.27595	0.41		1.0	6	5	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	RASGRP3	25780	Q8IV61	RAS guanyl releasing protein 3	Enzyme modulator	34	0.686	0.5	0.0091132	0.41		1.0	4	1	2009.0	2017.0
Lupus Erythematosus, Systemic	C0024141	C1R	715	P00736	complement C1r	Enzyme	96	0.638	0.654	0.77888	0.41	strong	1.0	2	0	2011.0	2017.0
Lupus Erythematosus, Systemic	C0024141	KIAA0319L	79932	Q8IZA0	KIAA0319 like		29	0.711	0.423	0.0012186	0.41		1.0	1	1	2013.0	2013.0
