Gene stable ID	Chromosome/scaffold name	Gene name
ENSG00000167393	X	PPP2R3B
ENSG00000225661	X	RPL14P5
ENSG00000235039	X	MTND6P12
ENSG00000286431	X	
ENSG00000236120	X	LINC03070
ENSG00000238193	X	HADHBP1
ENSG00000236188	X	PRKX-AS1
ENSG00000228572	X	
ENSG00000236513	X	
ENSG00000234622	X	
ENSG00000183943	X	PRKX
ENSG00000236017	X	ASMTL-AS1
ENSG00000225574	X	DRAXINP1
ENSG00000177504	X	VCX2
ENSG00000231619	X	ANAPC15P1
ENSG00000231216	X	GS1-600G8.3
ENSG00000225271	X	NOLC1P1
ENSG00000185291	X	IL3RA
ENSG00000182162	X	P2RY8
ENSG00000237730	X	RPS5P8
ENSG00000226313	X	MTCYBP12
ENSG00000182888	X	RPS27AP20
ENSG00000215313	X	RPL6P30
ENSG00000169100	X	SLC25A6
ENSG00000237531	X	
ENSG00000125363	X	AMELX
ENSG00000196433	X	ASMT
ENSG00000223571	X	DHRSX-IT1
ENSG00000226985	X	LINC01203
ENSG00000169084	X	DHRSX
ENSG00000146950	X	SHROOM2
ENSG00000231913	X	RARRES2P3
ENSG00000011201	X	ANOS1
ENSG00000169093	X	ASMTL
ENSG00000275194	X	FAM9CP1
ENSG00000223511	X	LINC02968
ENSG00000225722	X	RPL24P9
ENSG00000177138	X	FAM9B
ENSG00000236871	X	LINC00106
ENSG00000004961	X	HCCS
ENSG00000226774	X	HIKESHIP1
ENSG00000146938	X	NLGN4X
ENSG00000285679	X	
ENSG00000276467	X	
ENSG00000232392	X	GOT2P7
ENSG00000225384	X	
ENSG00000183304	X	FAM9A
ENSG00000229012	X	
ENSG00000285756	X	
ENSG00000235592	X	
ENSG00000101955	X	SRPX
ENSG00000226179	X	LINC00685
ENSG00000283400	X	
ENSG00000126010	X	GRPR
ENSG00000283631	X	
ENSG00000235211	X	TMSB10P2
ENSG00000177324	X	BEND2
ENSG00000174028	X	FAM3C2P
ENSG00000225882	X	LINC01456
ENSG00000185638	X	FTH1P14
ENSG00000236929	X	RPL35AP37
ENSG00000286724	X	
ENSG00000223391	X	RDXP2
ENSG00000214031	X	CLDN7P1
ENSG00000147027	X	TMEM47
ENSG00000233247	X	UBE2E4P
ENSG00000233007	X	UBTFL11
ENSG00000225066	X	MDM4P1
ENSG00000232370	X	BAG1P1
ENSG00000219870	X	BRK1P1
ENSG00000236072	X	SRSF2P1
ENSG00000235642	X	PTP4A1P5
ENSG00000287171	X	
ENSG00000185915	X	KLHL34
ENSG00000197976	X	AKAP17A
ENSG00000091482	X	SMPX
ENSG00000149970	X	CNKSR2
ENSG00000036473	X	OTC
ENSG00000147041	X	SYTL5
ENSG00000234191	X	LINC01283
ENSG00000273704	X	
ENSG00000235071	X	
